medianame	source_url	domain	country	bias	factual
The Deplorables	http://lastdeplorables.com/	lastdeplorables.com	None	extremeright	questionable source
The World Can't Wait	https://worldcantwait.net/	worldcantwait.net	None	left	high
Head Topics	https://headtopics.com/us/#	headtopics.com	Unknown	leftcenter	mixed
Denton Record-Chronicle	https://www.dentonrc.com	www.dentonrc.com	USA	center	high
USA Really	https://usareally.com	usareally.com	Russia	right	very low
Right Wing News	https://rightwingnews.com/	rightwingnews.com	USA	extremeright	questionable source
The Boston Tribune	http://thebostontribune.com/	thebostontribune.com	None	right	questionable source
Daily 49er	http://www.daily49er.com/	www.daily49er.com	USA	left	high
The Star Democrat	http://www.stardem.com	www.stardem.com	USA	center	high
One America News Network (OAN)	https://www.oann.com	www.oann.com	USA	right	mixed
Mr. Conservative (MRC)	https://www.mrcblog.com/	www.mrcblog.com	None	extremeright	None
Greeley Tribune	https://www.greeleytribune.com	www.greeleytribune.com	USA	rightcenter	high
The Brownsville Herald	https://www.brownsvilleherald.com	www.brownsvilleherald.com	USA	leftcenter	high
CCTV America	https://america.cgtn.com/	america.cgtn.com	None	leftcenter	mixed
Syriana Analysis	http://www.syriana-analysis.com	www.syriana-analysis.com	None	left	mixed
Meduza	https://meduza.io/en	meduza.io	Latvia	left	high
Voice of America	https://www.voanews.com	www.voanews.com	USA	center	high
Rand Corporation	https://www.rand.org	www.rand.org	USA	center	high
The Register UK	http://www.theregister.co.uk/	www.theregister.co.uk	None	center	high
Military.com	https://www.military.com/	www.military.com	USA	center	high
Angus Reid Institute	http://angusreid.org	angusreid.org	Canada	rightcenter	high
Utah Standard-Examiner	http://www.standard.net/	www.standard.net	None	center	high
DC Gazette	http://thedcgazette.com/	thedcgazette.com	None	extremeright	low
TooFab	https://toofab.com/	toofab.com	USA	left	mixed
Liberal Society	http://liberalsociety.com/	liberalsociety.com	None	extremeleft	None
Power Line	https://www.powerlineblog.com/	www.powerlineblog.com	USA	right	mixed
Boston Review	http://bostonreview.net	bostonreview.net	USA	left	high
Statesman Journal	http://www.statesmanjournal.com/	www.statesmanjournal.com	None	rightcenter	high
Inland Valley Daily Bulletin	https://www.dailybulletin.com	www.dailybulletin.com	USA	center	high
Liberal America	http://liberalamerica.life	liberalamerica.life	USA	left	mixed
Washington Sources	http://washingtonsources.org	washingtonsources.org	USA	left	mixed
The Religion of Peace	https://www.thereligionofpeace.com/	www.thereligionofpeace.com	USA	extremeright	questionable source
Buenos Aires Times	http://www.batimes.com.ar	www.batimes.com.ar	Argentina	rightcenter	high
Project Purge	https://projectpurge.com/	projectpurge.com	None	extremeright	questionable source
Freakonomics Radio	http://freakonomics.com/	freakonomics.com	None	leftcenter	high
Places Journal	https://placesjournal.org/	placesjournal.org	USA	center	very high
Red Rock Daily News	http://www.redrocktribune.com/	www.redrocktribune.com	None	extremeright	questionable source
Influence Watch	https://www.influencewatch.org	www.influencewatch.org	USA	right	high
Washington Post	https://www.washingtonpost.com/	www.washingtonpost.com	USA	leftcenter	high
Bridge Magazine	http://www.bridgemi.com	www.bridgemi.com	None	center	high
Natural Resources Defense Council (NRDC)	https://www.nrdc.org/	www.nrdc.org	USA	left	mostly factual
Mackinac Center for Public Policy	https://www.mackinac.org/	www.mackinac.org	USA	rightcenter	mostly factual
Flex Mag	http://www.usafortrumponline.com	www.usafortrumponline.com	Macedonia	extremeright	low
The Jerusalem Report	http://www.jpost.com/Jerusalem-Report	www.jpost.com	None	leftcenter	high
The Laugh Club	https://www.thelaughclub.net/	www.thelaughclub.net	Sweden	None	low
Backroom Buzz	https://backroombuzz.com/	backroombuzz.com	USA	extremeright	low
Seattle Post-Intelligencer	http://www.seattlepi.com/	www.seattlepi.com	None	leftcenter	high
Lucianne.com	https://www.lucianne.com/	www.lucianne.com	USA	right	None
Channel 4 News (UK)	https://www.channel4.com/news/	www.channel4.com	United Kingdom	leftcenter	high
Grasping Reality With Both Hands: Bradford DeLong	http://www.bradford-delong.com/	www.bradford-delong.com	USA	left	high
Shareably	http://www.shareably.net/	www.shareably.net	None	center	high
InfoScum	http://www.infoscum.com/	www.infoscum.com	Canada	leftcenter	mixed
Lincoln Journal Star	http://journalstar.com/	journalstar.com	USA	center	high
The Deplorable Society	https://thedeplorablesociety.com	thedeplorablesociety.com	None	extremeright	questionable source
America First Action SuperPAC	https://www.a1apac.org	www.a1apac.org	USA	right	mixed
Deccan Chronicle	https://www.deccanchronicle.com/	www.deccanchronicle.com	India	rightcenter	high
Diply	https://diply.com/	diply.com	Canada	leftcenter	mixed
Disrn	None	None	USA	right	mixed
Dayton Daily News	https://www.daytondailynews.com	www.daytondailynews.com	USA	center	high
Göteborgs-Posten	https://www.gp.se/	www.gp.se	Sweden	rightcenter	mostly factual
USA Supreme	http://www.usasupreme.com/	www.usasupreme.com	None	extremeright	questionable source
Connecticut Post	https://www.ctpost.com	www.ctpost.com	USA	leftcenter	high
El Nuevo Dia	https://www.elnuevodia.com/english/	www.elnuevodia.com	USA / Self governing commonwealth Puerto Rico	center	high
Capitalism Magazine	https://www.capitalismmagazine.com/	www.capitalismmagazine.com	USA/Bahamas	rightcenter	mostly factual
Ara News	http://aranews.net/	aranews.net	None	leftcenter	high
Washington Examiner	https://www.washingtonexaminer.com/	www.washingtonexaminer.com	USA	right	mixed
The Daily Chronicle	https://www.daily-chronicle.com	www.daily-chronicle.com	USA	center	high
Abort73	https://abort73.com	abort73.com	USA	right	mixed
TD Newswire	http://www.tdnewswire.com/	www.tdnewswire.com	None	extremeright	questionable source
Baltimore Sun	https://www.baltimoresun.com/	www.baltimoresun.com	USA	leftcenter	high
Salem Radio Network News (SRN News)	http://www.srnnews.com/	www.srnnews.com	None	rightcenter	high
South Africa Today	https://southafricatoday.net	southafricatoday.net	None	right	questionable source
PolicyEd	https://www.policyed.org/	www.policyed.org	USA	rightcenter	high
The Week (USA)	https://theweek.com/	theweek.com	USA	left	high
Newsy	https://www.newsy.com/	www.newsy.com	USA	leftcenter	high
Al-Sura	https://al-sura.com	al-sura.com	USA	leftcenter	mixed
The Morning Call	http://www.mcall.com	www.mcall.com	USA	center	high
Humanium	https://www.humanium.org	www.humanium.org	None	leftcenter	high
Arizona Daily Sun	https://azdailysun.com	azdailysun.com	USA	leftcenter	high
The Monitor (Texas)	https://www.themonitor.com	www.themonitor.com	USA	center	high
Truth Uncensored	http://truthuncensored.net/	truthuncensored.net	None	extremeright	questionable source
Think Americana	https://thinkamericana.com	thinkamericana.com	Unknown	extremeright	questionable source
Bloomberg News	https://www.bloomberg.com/	www.bloomberg.com	USA	leftcenter	mostly factual
MSMLies.com	https://www.msmlies.com/	www.msmlies.com	Unknown	right	mixed
National Monitor	http://natmonitor.com/	natmonitor.com	None	leftcenter	high
Zebra Fact Check	https://www.zebrafactcheck.com	www.zebrafactcheck.com	USA	rightcenter	high
American Thinker	https://www.americanthinker.com	www.americanthinker.com	USA	extremeright	low
Pocono Record	http://www.poconorecord.com/	www.poconorecord.com	USA	center	high
Foreign Policy News	http://foreignpolicynews.org	foreignpolicynews.org	USA	left	mixed
Arizona Capitol Times	https://azcapitoltimes.com/	azcapitoltimes.com	USA	center	high
American Public Media	None	None	USA	leftcenter	high
Atlantic Media	https://www.atlanticmedia.com/	www.atlanticmedia.com	None	leftcenter	high
Scroll.in	https://scroll.in/	scroll.in	None	leftcenter	high
Arab News	http://www.arabnews.com/	www.arabnews.com	None	rightcenter	high
Third Way	https://www.thirdway.org/	www.thirdway.org	USA	center	mostly factual
Alt News	https://www.altnews.in	www.altnews.in	India	left	high
The Odyssey Online	https://www.theodysseyonline.com	www.theodysseyonline.com	USA	leftcenter	mixed
The Mary Sue	https://www.themarysue.com	www.themarysue.com	USA	left	mixed
IndexMundi	https://www.indexmundi.com/	www.indexmundi.com	USA	center	high
USA World Box	http://www.usaworldbox.com/	www.usaworldbox.com	None	extremeright	questionable source
Al-Hayat	http://www.alhayat.com/	www.alhayat.com	None	leftcenter	high
Tallahassee Democrat	http://www.tallahassee.com/	www.tallahassee.com	None	rightcenter	high
Houston Chronicle	https://www.houstonchronicle.com/	www.houstonchronicle.com	USA	leftcenter	high
Wings Over Scotland	https://wingsoverscotland.com	wingsoverscotland.com	None	leftcenter	high
Congress.gov	https://www.congress.gov/	www.congress.gov	None	center	very high
Daily Herald	https://www.dailyherald.com/	www.dailyherald.com	USA	rightcenter	high
The US Patriot	http://theuspatriot.com/	theuspatriot.com	None	extremeright	questionable source
The Economist	https://www.economist.com/	www.economist.com	United Kingdom	center	high
Simple Politics	http://www.simplepolitics.co.uk	www.simplepolitics.co.uk	None	center	high
Bitch Media	https://bitchmedia.org/	bitchmedia.org	None	left	high
Red Flag News	http://www.redflagnews.com/	www.redflagnews.com	None	right	mixed
Las Vegas Sun	https://lasvegassun.com	lasvegassun.com	USA	leftcenter	mostly factual
DeadState	https://deadstate.org/	deadstate.org	USA	left	high
Not Liberal	http://notliberal.com	notliberal.com	None	right	mixed
Daily Record	https://www.dailyrecord.com/	www.dailyrecord.com	None	center	high
Knowhere	https://knowherenews.com	knowherenews.com	USA	center	high
Atlas Obscura	https://www.atlasobscura.com/	www.atlasobscura.com	USA	center	high
Stone Cold Truth	https://stonecoldtruth.com/	stonecoldtruth.com	None	extremeright	None
Conservative Media	https://conservativemedia.com/	conservativemedia.com	None	extremeright	low
The Patriot Post	https://patriotpost.us/	patriotpost.us	USA	right	mixed
Capital & Main	https://capitalandmain.com	capitalandmain.com	USA	left	high
Liberty Nation	https://www.libertynation.com	www.libertynation.com	USA	right	mixed
York Dispatch	https://www.yorkdispatch.com	www.yorkdispatch.com	USA	leftcenter	high
Time Magazine	https://time.com/	time.com	USA	leftcenter	high
American Press Institute (API)	https://www.americanpressinstitute.org	www.americanpressinstitute.org	USA	center	very high
Rantt Media	https://rantt.com	rantt.com	USA	left	high
Cold Dead Hands	http://www.colddeadhands.us/	www.colddeadhands.us	USA	right	mixed
Arkansas Times	https://www.arktimes.com	www.arktimes.com	USA	leftcenter	high
DeathandTaxes	None	None	None	left	high
Jew Watch	http://jewwatch.com/	jewwatch.com	None	extremeright	questionable source
New Revolution Now	http://www.newrevolutionnow.org/	www.newrevolutionnow.org	None	right	high
GQ Magazine	https://www.gq.com	www.gq.com	USA	left	high
1010 Wins AM	https://1010wins.radio.com/	1010wins.radio.com	USA	center	high
De Telegraaf	https://www.telegraaf.nl/	www.telegraaf.nl	Netherlands	right	mixed
Rare News	None	None	None	rightcenter	high
Utah Public Radio (UPR)	http://upr.org	upr.org	USA	leftcenter	high
Daily Beast	https://www.thedailybeast.com/	www.thedailybeast.com	USA	left	high
St. Cloud Times	http://www.sctimes.com/	www.sctimes.com	None	center	high
The D.C. Clothesline	http://www.dcclothesline.com/	www.dcclothesline.com	USA	extremeright	low
York Daily Record	http://www.ydr.com/	www.ydr.com	None	leftcenter	high
DPA German Press Agency	http://www.dpa-international.com/	www.dpa-international.com	None	center	high
Tehran Times	https://www.tehrantimes.com/	www.tehrantimes.com	Iran	right	mixed
Esquire Magazine	https://www.esquire.com	www.esquire.com	USA	left	mostly factual
Axiom News Network	http://axiomnewsnetwork.com	axiomnewsnetwork.com	USA	right	mixed
Weekly Standard	http://www.weeklystandard.com/	www.weeklystandard.com		right	high
Lone Conservative	https://loneconservative.com	loneconservative.com	USA	right	mixed
Foreign Policy Research Institute	https://www.fpri.org/	www.fpri.org	USA	rightcenter	mostly factual
Eagle Pass News Leader	https://www.epnewsleader.com/	www.epnewsleader.com	USA	right	mixed
Buzzfeed	https://www.buzzfeed.com/	www.buzzfeed.com	USA	leftcenter	mixed
Trump.News	http://trump.news/	trump.news	Unknown	extremeright	None
R Street Institute	http://www.rstreet.org/	www.rstreet.org	None	rightcenter	high
Just The News	https://justthenews.com/	justthenews.com	USA	right	high
Le Devoir	http://www.ledevoir.com/	www.ledevoir.com	Canada	center	high
La Presse	http://www.lapresse.ca/	www.lapresse.ca	Canada	leftcenter	high
Before it's News	http://beforeitsnews.com/	beforeitsnews.com	USA	extremeright	low
American Council on Science and Health	https://www.acsh.org	www.acsh.org	USA	rightcenter	high
Center for Media and Democracy (PR Watch)	https://www.prwatch.org/	www.prwatch.org	USA	left	high
Reporters Without Borders	https://rsf.org/en	rsf.org	None	center	high
Sentinel KSMO	https://sentinelksmo.org	sentinelksmo.org	None	right	mixed
Center for Inquiry	https://centerforinquiry.org	centerforinquiry.org	USA	leftcenter	high
Future in America	https://ourfutureinamerica.org/	ourfutureinamerica.org	None	right	mixed
Memeorandum	http://www.memeorandum.com/	www.memeorandum.com	None	center	mixed
Billings Gazette	https://billingsgazette.com/	billingsgazette.com	USA	rightcenter	high
Arizona Republic	https://www.azcentral.com	www.azcentral.com	USA	leftcenter	high
I Bleed Red White and Blue	http://ibleedredwhiteblue.com/	ibleedredwhiteblue.com	USA	right	mixed
National Affairs Magazine	https://www.nationalaffairs.com	www.nationalaffairs.com	USA	rightcenter	high
AFP (Agence France Presse)	https://www.afp.com/en/home	www.afp.com	France	center	high
US Government Accountability Office (GAO)	https://www.gao.gov	www.gao.gov	USA	center	high
Bellingcat	https://www.bellingcat.com/	www.bellingcat.com	None	center	high
Al-Masdar News (AMN)	https://www.almasdarnews.com	www.almasdarnews.com	None	leftcenter	mixed
The Epoch Times	https://www.theepochtimes.com	www.theepochtimes.com	USA	right	mixed
MartinLutherKing.org	http://www.martinlutherking.org/	www.martinlutherking.org	Unknown	extremeright	None
OpEdNews (OEN)	https://www.opednews.com/	www.opednews.com	None	left	mixed
Manchester Union Leader	http://www.unionleader.com/	www.unionleader.com	USA	right	mixed
New Politics Magazine	http://newpol.org/	newpol.org	None	left	high
Political Storm	https://mavenroundtable.io/politicalstorm/	mavenroundtable.io	None	center	high
TRT World	https://www.trtworld.com	www.trtworld.com	Turkey	right	mixed
Demos	http://www.demos.org	www.demos.org	None	leftcenter	high
Human Rights Watch	https://www.hrw.org/	www.hrw.org	None	leftcenter	high
Powdered Wig Society	http://powderedwigsociety.com/	powderedwigsociety.com	USA	extremeright	questionable source
Consumerist	https://consumerist.com/	consumerist.com	None	center	high
Cop Block	http://www.copblock.org/	www.copblock.org	None	left	high
Rolling Stone	https://www.rollingstone.com/	www.rollingstone.com	USA	left	high
